Round,Accuracy
0,0.7649
1,0.7649
2,0.7649
3,0.8468
4,0.7909
5,0.8532
6,0.8088
7,0.7711
8,0.7649
9,0.7689
10,0.7726
11,0.7909
12,0.8059
13,0.8107
14,0.8107
15,0.8124
16,0.8187
17,0.8334
18,0.8392
19,0.8313
20,0.8222
21,0.8162
22,0.8254
23,0.8328
24,0.834
25,0.828
26,0.8193
27,0.8248
28,0.8288
29,0.8297
30,0.8291
31,0.8236
32,0.8233
33,0.822
34,0.8276
35,0.8316
36,0.8325
37,0.827
38,0.8224
39,0.825
40,0.832
41,0.8308
42,0.8279
43,0.825
44,0.8233
45,0.8237
46,0.8276
47,0.8293
48,0.8259
49,0.8231
50,0.8171
