Round,Accuracy
0,0.1036
1,0.2415
2,0.1983
3,0.3289
4,0.3719
5,0.4467
6,0.4251
7,0.4096
8,0.4479
9,0.462
10,0.464
11,0.4617
12,0.4892
13,0.4959
14,0.4962
15,0.5086
16,0.5312
17,0.5543
18,0.5674
19,0.5686
20,0.5662
21,0.5703
22,0.5748
23,0.5726
24,0.578
25,0.5841
26,0.5936
27,0.5945
28,0.5953
29,0.5998
30,0.6013
31,0.6015
32,0.6017
33,0.6068
34,0.6132
35,0.6118
36,0.6039
37,0.6089
38,0.6195
39,0.6228
40,0.6224
41,0.6259
42,0.6225
43,0.6238
44,0.6248
45,0.6233
46,0.6242
47,0.6242
48,0.6295
49,0.6352
50,0.6295
