Round,Accuracy
0,0.1044
1,0.2352
2,0.1023
3,0.1001
4,0.1
5,0.1
6,0.1201
7,0.1336
8,0.1448
9,0.1836
10,0.2336
11,0.2379
12,0.2563
13,0.2382
14,0.2143
15,0.2327
16,0.2281
17,0.2166
18,0.2117
19,0.2315
20,0.2569
21,0.2844
22,0.2982
23,0.3006
24,0.2873
25,0.2777
26,0.2863
27,0.2986
28,0.3084
29,0.3086
30,0.3115
31,0.3161
32,0.3174
33,0.3074
34,0.3105
35,0.3239
36,0.327
37,0.3273
38,0.331
39,0.3267
40,0.3101
41,0.3238
42,0.3437
43,0.3548
44,0.3454
45,0.3346
46,0.3369
47,0.3451
48,0.3607
49,0.3568
50,0.331
