Round,Accuracy
0,0.0994
1,0.1473
2,0.1028
3,0.1009
4,0.0982
5,0.0994
6,0.1247
7,0.1089
8,0.1546
9,0.1523
10,0.1657
11,0.1547
12,0.1456
13,0.1303
14,0.1292
15,0.133
16,0.1478
17,0.159
18,0.1309
19,0.1097
20,0.1199
21,0.1754
22,0.2078
23,0.1962
24,0.2105
25,0.2233
26,0.218
27,0.2309
28,0.2038
29,0.1668
30,0.1713
31,0.2004
32,0.2027
33,0.1957
34,0.1942
35,0.1939
36,0.2103
37,0.2006
38,0.1991
39,0.2008
40,0.212
41,0.2281
42,0.2285
43,0.2313
44,0.2289
45,0.2056
46,0.1792
47,0.2061
48,0.2356
49,0.2469
50,0.2592
