Round,Accuracy
0,0.1
1,0.2809
2,0.1296
3,0.1
4,0.1021
5,0.1277
6,0.1677
7,0.1889
8,0.1654
9,0.1479
10,0.1761
11,0.2113
12,0.2386
13,0.277
14,0.3298
15,0.3706
16,0.404
17,0.4138
18,0.4065
19,0.4101
20,0.4193
21,0.434
22,0.4469
23,0.4708
24,0.489
25,0.4856
26,0.4818
27,0.4764
28,0.48
29,0.4874
30,0.4969
31,0.5054
32,0.5099
33,0.5137
34,0.5263
35,0.5317
36,0.5367
37,0.5409
38,0.5418
39,0.5475
40,0.5517
41,0.5601
42,0.5605
43,0.5672
44,0.5688
45,0.5677
46,0.5648
47,0.5739
48,0.5838
49,0.587
50,0.577
