Round,Accuracy
0,0.1
1,0.1253
2,0.1156
3,0.1647
4,0.1804
5,0.1753
6,0.1779
7,0.1593
8,0.1666
9,0.1896
10,0.2151
11,0.2425
12,0.2395
13,0.2309
14,0.2177
15,0.2085
16,0.2117
17,0.2169
18,0.2287
19,0.2326
20,0.2348
21,0.2493
22,0.2642
23,0.2596
24,0.2672
25,0.2622
26,0.2675
27,0.2733
28,0.268
29,0.2707
30,0.2639
31,0.2569
32,0.2653
33,0.2775
34,0.2971
35,0.3017
36,0.3052
37,0.3097
38,0.2985
39,0.2978
40,0.294
41,0.2927
42,0.2806
43,0.2867
44,0.3
45,0.3039
46,0.3056
47,0.3086
48,0.3119
49,0.3088
50,0.2989
