Round,Accuracy
0,0.1004
1,0.119
2,0.1072
3,0.1391
4,0.1673
5,0.1773
6,0.194
7,0.222
8,0.2308
9,0.2617
10,0.2996
11,0.3216
12,0.3209
13,0.3207
14,0.3273
15,0.3417
16,0.3533
17,0.3426
18,0.3191
19,0.2889
20,0.2867
21,0.2906
22,0.306
23,0.3263
24,0.339
25,0.3412
26,0.3453
27,0.3508
28,0.3601
29,0.3707
30,0.3745
31,0.371
32,0.3663
33,0.3596
34,0.357
35,0.3554
36,0.3588
37,0.3662
38,0.3684
39,0.3659
40,0.3647
41,0.3665
42,0.3695
43,0.3677
44,0.3663
45,0.3661
46,0.3643
47,0.3619
48,0.3626
49,0.3638
50,0.3628
