Round,Accuracy
0,0.1
1,0.1384
2,0.1088
3,0.0994
4,0.1001
5,0.1002
6,0.1014
7,0.1105
8,0.1543
9,0.129
10,0.1565
11,0.1769
12,0.1622
13,0.1595
14,0.1857
15,0.2176
16,0.2575
17,0.3084
18,0.3244
19,0.3091
20,0.2897
21,0.2778
22,0.2796
23,0.2979
24,0.3307
25,0.3564
26,0.3626
27,0.3523
28,0.336
29,0.3305
30,0.3349
31,0.3449
32,0.3514
33,0.3609
34,0.3623
35,0.3617
36,0.3591
37,0.3544
38,0.3525
39,0.3542
40,0.3535
41,0.3533
42,0.3551
43,0.3558
44,0.3559
45,0.3559
46,0.3537
47,0.3519
48,0.3528
49,0.351
50,0.3497
