Round,Accuracy
0,0.499
1,0.732
2,0.921
3,0.97
4,0.985
5,0.98
6,0.996
7,0.992
8,0.988
9,0.993
10,0.996
11,0.995
12,0.987
13,0.985
14,0.987
15,0.994
16,0.969
17,0.968
18,0.978
19,0.987
20,0.989
21,0.975
22,0.973
23,0.976
24,0.99
25,0.992
26,0.995
27,0.988
28,0.984
29,0.993
30,0.999
31,0.995
32,0.991
33,0.991
34,0.99
35,0.99
36,0.993
37,0.994
38,0.998
39,0.991
40,0.99
41,0.991
42,0.992
43,0.993
44,0.994
45,0.996
46,0.996
47,0.998
48,0.999
49,0.996
50,0.995
