Round,Accuracy
0,0.0308
1,0.4822
2,0.1834
3,0.1834
4,0.1024
5,0.1449
6,0.1449
7,0.4822
8,0.4822
9,0.1834
10,0.4822
11,0.4822
12,0.1024
13,0.4822
14,0.4822
15,0.1834
16,0.1834
17,0.4822
18,0.4822
19,0.4822
20,0.1449
21,0.1449
22,0.1024
23,0.4822
24,0.4822
25,0.1834
26,0.1834
27,0.4822
28,0.4822
29,0.4822
30,0.4822
31,0.1449
32,0.4822
33,0.4822
34,0.1834
35,0.4822
36,0.1834
37,0.4822
38,0.1834
39,0.4822
40,0.4822
41,0.4822
42,0.1449
43,0.4822
44,0.4822
45,0.1024
46,0.1834
47,0.4822
48,0.4822
49,0.1834
50,0.4822
