Round,Accuracy
0,0.1
1,0.5372
2,0.6499
3,0.6657
4,0.6656
5,0.6923
6,0.7369
7,0.7814
8,0.795
9,0.7829
10,0.7749
11,0.7674
12,0.7778
13,0.7886
14,0.7983
15,0.8077
16,0.8116
17,0.8116
18,0.8093
19,0.8074
20,0.8019
21,0.8002
22,0.8103
23,0.8126
24,0.8125
25,0.8158
26,0.8197
27,0.8254
28,0.8251
29,0.8178
30,0.8065
31,0.7975
32,0.8019
33,0.8122
34,0.819
35,0.8247
36,0.8255
37,0.8251
38,0.822
39,0.8259
40,0.83
41,0.8232
42,0.8112
43,0.8109
44,0.8214
45,0.8247
46,0.8255
47,0.8185
48,0.8204
49,0.8338
50,0.8334
