Round,Accuracy
0,0.1
1,0.3214
2,0.2585
3,0.5466
4,0.5552
5,0.62
6,0.7578
7,0.7873
8,0.7455
9,0.7419
10,0.7837
11,0.8045
12,0.8167
13,0.8249
14,0.8214
15,0.818
16,0.8183
17,0.8194
18,0.8244
19,0.8319
20,0.8368
21,0.8338
22,0.8296
23,0.8388
24,0.8458
25,0.8509
26,0.8465
27,0.8422
28,0.8421
29,0.8507
30,0.8551
31,0.8537
32,0.8467
33,0.842
34,0.8464
35,0.85
36,0.8509
37,0.85
38,0.8507
39,0.8528
40,0.8549
41,0.8545
42,0.8516
43,0.8509
44,0.8564
45,0.8582
46,0.8595
47,0.8559
48,0.8583
49,0.8554
50,0.855
