Round,Accuracy
0,0.1353
1,0.209
2,0.2882
3,0.3293
4,0.3818
5,0.4405
6,0.5382
7,0.5807
8,0.5312
9,0.6343
10,0.6307
11,0.6046
12,0.6621
13,0.6849
14,0.6825
15,0.6946
16,0.7023
17,0.7097
18,0.7084
19,0.7425
20,0.7547
21,0.7399
22,0.746
23,0.7475
24,0.7467
25,0.749
26,0.7595
27,0.7618
28,0.7578
29,0.7535
30,0.7604
31,0.7699
32,0.7596
33,0.7679
34,0.7691
35,0.771
36,0.7557
37,0.7534
38,0.779
39,0.7701
40,0.7653
41,0.7651
42,0.7725
43,0.7742
44,0.7771
45,0.7827
46,0.7858
47,0.772
48,0.7731
49,0.7775
50,0.7861
