Round,Accuracy
0,0.1141
1,0.8131
2,0.9699
3,0.9863
4,0.9816
5,0.9862
6,0.9883
7,0.9894
8,0.989
9,0.9889
10,0.9899
11,0.9901
12,0.9898
13,0.9907
14,0.9902
15,0.9908
16,0.9908
17,0.9908
18,0.9899
19,0.9907
20,0.9912
21,0.9913
22,0.9913
23,0.9901
24,0.9911
25,0.991
26,0.9907
27,0.9898
28,0.9898
29,0.9912
30,0.9908
31,0.9919
32,0.9917
33,0.9902
34,0.9912
35,0.992
36,0.9921
37,0.9911
38,0.9915
39,0.9912
40,0.9908
41,0.9906
42,0.9908
43,0.9909
44,0.9915
45,0.9914
46,0.9911
47,0.9904
48,0.9905
49,0.9913
50,0.9905
