Round,Accuracy
0,0.1031
1,0.4954
2,0.9411
3,0.979
4,0.9777
5,0.9768
6,0.98
7,0.9841
8,0.9824
9,0.983
10,0.9852
11,0.9861
12,0.9867
13,0.9872
14,0.9872
15,0.988
16,0.9886
17,0.9873
18,0.9874
19,0.9869
20,0.9881
21,0.9873
22,0.9873
23,0.9885
24,0.9877
25,0.9876
26,0.9882
27,0.9881
28,0.9883
29,0.9865
30,0.9871
31,0.988
32,0.9867
33,0.9867
34,0.9871
35,0.9868
36,0.988
37,0.9888
38,0.9886
39,0.9885
40,0.9896
41,0.9897
42,0.989
43,0.9893
44,0.9891
45,0.9897
46,0.9892
47,0.9879
48,0.9875
49,0.9879
50,0.988
