Round,Accuracy
0,0.0622
1,0.3658
2,0.421
3,0.4658
4,0.5558
5,0.5843
6,0.7952
7,0.8531
8,0.8581
9,0.8513
10,0.8692
11,0.8788
12,0.9012
13,0.9234
14,0.9384
15,0.9482
16,0.9464
17,0.9445
18,0.9424
19,0.9478
20,0.949
21,0.9542
22,0.9549
23,0.9515
24,0.9533
25,0.961
26,0.9621
27,0.9622
28,0.9631
29,0.9612
30,0.9609
31,0.9634
32,0.9673
33,0.9668
34,0.9662
35,0.966
36,0.9638
37,0.968
38,0.9714
39,0.9723
40,0.9695
41,0.9674
42,0.9701
43,0.9705
44,0.9699
45,0.9678
46,0.9646
47,0.9719
48,0.9735
49,0.9731
50,0.9715
