Round,Accuracy
0,0.13
1,0.1959
2,0.1959
3,0.1959
4,0.1959
5,0.196
6,0.1971
7,0.2139
8,0.2656
9,0.2702
10,0.1665
11,0.1376
12,0.1266
13,0.1312
14,0.1553
15,0.2157
16,0.3257
17,0.4421
18,0.5416
19,0.5915
20,0.6075
21,0.5815
22,0.5717
23,0.5622
24,0.5622
25,0.5573
26,0.5597
27,0.5576
28,0.5571
29,0.5469
30,0.5969
31,0.6292
32,0.6301
33,0.6258
34,0.6328
35,0.6169
36,0.6342
37,0.6627
38,0.6706
39,0.6753
40,0.6824
41,0.6722
42,0.6711
43,0.668
44,0.665
45,0.6566
46,0.6743
47,0.6887
48,0.6836
49,0.675
50,0.6879
