Round,Accuracy
0,0.0613
1,0.1959
2,0.3056
3,0.4985
4,0.6242
5,0.6884
6,0.7231
7,0.7543
8,0.7732
9,0.786
10,0.7946
11,0.8017
12,0.8087
13,0.8141
14,0.8206
15,0.8269
16,0.8324
17,0.8366
18,0.8383
19,0.8405
20,0.8444
21,0.8455
22,0.8478
23,0.8499
24,0.8504
25,0.8518
26,0.8523
27,0.8523
28,0.8537
29,0.8535
30,0.8564
31,0.856
32,0.8559
33,0.8579
34,0.8583
35,0.8592
36,0.8595
37,0.8594
38,0.8603
39,0.8604
40,0.8604
41,0.86
42,0.8612
43,0.8611
44,0.8617
45,0.8615
46,0.8623
47,0.8614
48,0.8612
49,0.8619
50,0.862
