Round,Accuracy
0,0.0638
1,0.1959
2,0.067
3,0.0969
4,0.1107
5,0.1959
6,0.1594
7,0.1594
8,0.1594
9,0.0916
10,0.0969
11,0.1062
12,0.076
13,0.0776
14,0.1594
15,0.1594
16,0.1959
17,0.0916
18,0.0759
19,0.0776
20,0.1959
21,0.1594
22,0.1594
23,0.0969
24,0.1959
25,0.0759
26,0.0969
27,0.0776
28,0.1107
29,0.1959
30,0.0759
31,0.1594
32,0.0916
33,0.1959
34,0.1594
35,0.0638
36,0.067
37,0.1107
38,0.1107
39,0.0969
40,0.1594
41,0.0916
42,0.1959
43,0.1594
44,0.1959
45,0.1594
46,0.1594
47,0.1594
48,0.1107
49,0.1107
50,0.1959
