Round,Accuracy
0,0.0759
1,0.1963
2,0.6673
3,0.7453
4,0.7718
5,0.7774
6,0.7693
7,0.7602
8,0.7883
9,0.8209
10,0.8306
11,0.8241
12,0.8286
13,0.8352
14,0.8404
15,0.8459
16,0.8495
17,0.8472
18,0.8485
19,0.8515
20,0.8551
21,0.8567
22,0.8568
23,0.8543
24,0.8506
25,0.8489
26,0.8514
27,0.8538
28,0.8557
29,0.8549
30,0.8556
31,0.8553
32,0.8531
33,0.8501
34,0.8547
35,0.8569
36,0.8566
37,0.8514
38,0.8383
39,0.8349
40,0.8398
41,0.8489
42,0.8543
43,0.8541
44,0.8523
45,0.8557
46,0.8579
47,0.8601
48,0.8592
49,0.8547
50,0.8496
