Round,Accuracy
0,0.7649
1,0.7649
2,0.7649
3,0.7649
4,0.7649
5,0.7649
6,0.7649
7,0.7655
8,0.7691
9,0.7691
10,0.7692
11,0.7706
12,0.7748
13,0.7804
14,0.7814
15,0.7843
16,0.786
17,0.7883
18,0.7904
19,0.7903
20,0.7924
21,0.7923
22,0.797
23,0.7972
24,0.7953
25,0.799
26,0.7967
27,0.7986
28,0.7998
29,0.8062
30,0.8056
31,0.8056
32,0.8078
33,0.8062
34,0.8073
35,0.8135
36,0.817
37,0.8194
38,0.8177
39,0.8216
40,0.8136
41,0.8274
42,0.8153
43,0.831
44,0.815
45,0.8328
46,0.8111
47,0.832
48,0.811
49,0.8346
50,0.7998
