Round,Accuracy
0,0.768
1,0.7649
2,0.7649
3,0.7689
4,0.7892
5,0.7843
6,0.8326
7,0.7789
8,0.7682
9,0.7675
10,0.3487
11,0.7649
12,0.7878
13,0.7827
14,0.8306
15,0.8061
16,0.8457
17,0.8007
18,0.8402
19,0.7795
20,0.7272
21,0.7691
22,0.6436
23,0.7691
24,0.8466
25,0.7748
26,0.8491
27,0.7877
28,0.8514
29,0.7832
30,0.8068
31,0.7709
32,0.7179
33,0.7691
34,0.7537
35,0.7691
36,0.8466
37,0.7778
38,0.8498
39,0.782
40,0.8391
41,0.7811
42,0.7897
43,0.7695
44,0.7427
45,0.7691
46,0.7864
47,0.7691
48,0.8428
49,0.7784
50,0.8486
