Round,Accuracy
0,0.1012
1,0.4228
2,0.5032
3,0.5383
4,0.5613
5,0.5707
6,0.5826
7,0.5906
8,0.5881
9,0.6004
10,0.6038
11,0.6061
12,0.6089
13,0.6098
14,0.6149
15,0.6192
16,0.6286
17,0.6184
18,0.6214
19,0.6319
20,0.6302
21,0.6316
22,0.6354
23,0.6322
24,0.6327
25,0.6339
26,0.6352
27,0.6366
28,0.6347
29,0.6371
30,0.64
31,0.6347
32,0.6389
33,0.6451
34,0.6376
35,0.6373
36,0.6401
37,0.643
38,0.6397
39,0.643
40,0.6383
41,0.6394
42,0.6356
43,0.6456
44,0.6448
45,0.6375
46,0.642
47,0.6403
48,0.6451
49,0.6356
50,0.6391
