Round,Accuracy
0,0.1034
1,0.4703
2,0.5599
3,0.5994
4,0.6262
5,0.6388
6,0.6527
7,0.6591
8,0.6666
9,0.6712
10,0.6785
11,0.6845
12,0.685
13,0.6857
14,0.6919
15,0.6959
16,0.6939
17,0.6951
18,0.6994
19,0.7016
20,0.6997
21,0.7035
22,0.7023
23,0.7022
24,0.7094
25,0.7103
26,0.7101
27,0.7092
28,0.7087
29,0.7111
30,0.7124
31,0.7147
32,0.7155
33,0.7138
34,0.718
35,0.7196
36,0.7176
37,0.7187
38,0.7149
39,0.7199
40,0.717
41,0.7175
42,0.7175
43,0.7191
44,0.7187
45,0.7212
46,0.7202
47,0.7212
48,0.7218
49,0.7189
50,0.7229
