Round,Accuracy
0,0.11
1,0.1119
2,0.3738
3,0.4678
4,0.4852
5,0.5019
6,0.5272
7,0.5383
8,0.5698
9,0.5365
10,0.5656
11,0.561
12,0.5629
13,0.573
14,0.58
15,0.5797
16,0.5585
17,0.5794
18,0.5659
19,0.5626
20,0.5904
21,0.5588
22,0.5776
23,0.5538
24,0.5796
25,0.5896
26,0.5811
27,0.5871
28,0.5752
29,0.5861
30,0.5825
31,0.5852
32,0.5977
33,0.5974
34,0.5882
35,0.5903
36,0.5863
37,0.5932
38,0.5938
39,0.5941
40,0.5951
41,0.5979
42,0.6029
43,0.5989
44,0.5963
45,0.6029
46,0.5977
47,0.5897
48,0.5892
49,0.598
50,0.5992
