Round,Accuracy
0,0.1
1,0.3875
2,0.4372
3,0.428
4,0.4206
5,0.4175
6,0.416
7,0.412
8,0.411
9,0.4099
10,0.4087
11,0.4096
12,0.4073
13,0.4056
14,0.4088
15,0.4031
16,0.4033
17,0.4046
18,0.4076
19,0.4007
20,0.4033
21,0.4049
22,0.3999
23,0.4019
24,0.4021
25,0.4008
26,0.3981
27,0.4017
28,0.3988
29,0.3965
30,0.3987
31,0.3957
32,0.397
33,0.3975
34,0.3958
35,0.3963
36,0.3954
37,0.3968
38,0.3975
39,0.3979
40,0.3957
41,0.3954
42,0.3956
43,0.3945
44,0.3963
45,0.3951
46,0.3938
47,0.3949
48,0.3952
49,0.3934
50,0.3937
