Round,Accuracy
0,0.0997
1,0.2078
2,0.3428
3,0.392
4,0.4007
5,0.3974
6,0.3926
7,0.3849
8,0.3812
9,0.3766
10,0.3752
11,0.3728
12,0.373
13,0.373
14,0.37
15,0.3709
16,0.3681
17,0.371
18,0.3671
19,0.3704
20,0.3673
21,0.365
22,0.3694
23,0.367
24,0.3664
25,0.3659
26,0.3681
27,0.3672
28,0.3655
29,0.367
30,0.3679
31,0.3669
32,0.3652
33,0.3654
34,0.365
35,0.3616
36,0.3656
37,0.3648
38,0.3631
39,0.3624
40,0.3646
41,0.3629
42,0.3643
43,0.3639
44,0.3633
45,0.3619
46,0.3626
47,0.3629
48,0.3639
49,0.3626
50,0.3623
