Round,Accuracy
0,0.1
1,0.1089
2,0.163
3,0.2601
4,0.2923
5,0.2974
6,0.2896
7,0.3005
8,0.3033
9,0.3006
10,0.3057
11,0.3083
12,0.301
13,0.3055
14,0.3083
15,0.3114
16,0.307
17,0.3064
18,0.3126
19,0.3101
20,0.3117
21,0.3072
22,0.3121
23,0.3078
24,0.3135
25,0.3093
26,0.3111
27,0.313
28,0.3078
29,0.3094
30,0.3144
31,0.3096
32,0.3136
33,0.3105
34,0.3133
35,0.3131
36,0.3134
37,0.3149
38,0.3148
39,0.3143
40,0.3153
41,0.3138
42,0.3016
43,0.3124
44,0.3148
45,0.3151
46,0.3152
47,0.3145
48,0.3171
49,0.31
50,0.3156
