Round,Accuracy
0,0.1
1,0.1859
2,0.4035
3,0.4437
4,0.4394
5,0.4304
6,0.4199
7,0.4137
8,0.4112
9,0.4056
10,0.4079
11,0.4058
12,0.4058
13,0.4053
14,0.4041
15,0.4039
16,0.4024
17,0.4005
18,0.4015
19,0.4
20,0.4002
21,0.3996
22,0.3998
23,0.4003
24,0.3991
25,0.3993
26,0.3997
27,0.3981
28,0.3987
29,0.3979
30,0.3961
31,0.3961
32,0.3957
33,0.3959
34,0.3941
35,0.3943
36,0.3945
37,0.3934
38,0.3938
39,0.3925
40,0.3931
41,0.3926
42,0.3914
43,0.3915
44,0.3914
45,0.3917
46,0.3939
47,0.3908
48,0.3914
49,0.3908
50,0.3908
