Round,Accuracy
0,0.1024
1,0.4822
2,0.4884
3,0.4916
4,0.4968
5,0.4944
6,0.5026
7,0.5022
8,0.5026
9,0.5032
10,0.5097
11,0.512
12,0.511
13,0.5155
14,0.5183
15,0.5189
16,0.5161
17,0.5211
18,0.5217
19,0.5215
20,0.5224
21,0.5247
22,0.5232
23,0.5224
24,0.5239
25,0.5252
26,0.5254
27,0.5234
28,0.5282
29,0.5269
30,0.5258
31,0.5265
32,0.5232
33,0.5273
34,0.5318
35,0.5312
36,0.5273
37,0.5314
38,0.537
39,0.5396
40,0.5387
41,0.5396
42,0.5406
43,0.5477
44,0.5426
45,0.546
46,0.5424
47,0.5447
48,0.5417
49,0.5413
50,0.5417
