Round,Accuracy
0,0.0634
1,0.4841
2,0.4998
3,0.5411
4,0.5563
5,0.5688
6,0.5759
7,0.5837
8,0.5843
9,0.5929
10,0.5914
11,0.5938
12,0.5944
13,0.5933
14,0.5983
15,0.5981
16,0.5961
17,0.5981
18,0.594
19,0.5903
20,0.5966
21,0.5903
22,0.5869
23,0.5903
24,0.5976
25,0.5981
26,0.5963
27,0.5931
28,0.5908
29,0.5948
30,0.5929
31,0.5929
32,0.5953
33,0.5944
34,0.5903
35,0.5944
36,0.5976
37,0.5923
38,0.5852
39,0.5918
40,0.5923
41,0.591
42,0.5892
43,0.5895
44,0.5899
45,0.5903
46,0.5847
47,0.5867
48,0.5854
49,0.5901
50,0.5882
