Round,Accuracy
0,0.0308
1,0.4822
2,0.4822
3,0.4822
4,0.4849
5,0.4933
6,0.5045
7,0.5071
8,0.5327
9,0.5404
10,0.5626
11,0.5323
12,0.5701
13,0.5499
14,0.5705
15,0.5516
16,0.5759
17,0.569
18,0.5723
19,0.5712
20,0.5606
21,0.566
22,0.5488
23,0.552
24,0.5667
25,0.5708
26,0.5667
27,0.4559
28,0.5411
29,0.5665
30,0.5622
31,0.5477
32,0.5729
33,0.569
34,0.5725
35,0.5695
36,0.5667
37,0.5751
38,0.5729
39,0.5643
40,0.5714
41,0.568
42,0.5699
43,0.5753
44,0.571
45,0.5738
46,0.5647
47,0.5641
48,0.5675
49,0.5662
50,0.5675
