Round,Accuracy
0,0.1834
1,0.4822
2,0.1942
3,0.4822
4,0.483
5,0.4899
6,0.4381
7,0.5058
8,0.5181
9,0.5071
10,0.429
11,0.4996
12,0.4875
13,0.4981
14,0.5361
15,0.5181
16,0.4228
17,0.5082
18,0.3948
19,0.5067
20,0.4553
21,0.5176
22,0.4972
23,0.5213
24,0.4585
25,0.5228
26,0.4335
27,0.5267
28,0.4127
29,0.5338
30,0.4232
31,0.5232
32,0.4613
33,0.5183
34,0.4505
35,0.5404
36,0.4723
37,0.5426
38,0.4671
39,0.5462
40,0.4759
41,0.5454
42,0.469
43,0.534
44,0.4686
45,0.5394
46,0.4875
47,0.5432
48,0.5045
49,0.54
50,0.5026
