Round,Accuracy
0,0.0
1,0.4822
2,0.5213
3,0.5688
4,0.5858
5,0.5746
6,0.5755
7,0.5652
8,0.5114
9,0.552
10,0.552
11,0.5499
12,0.5637
13,0.5645
14,0.5656
15,0.5538
16,0.557
17,0.5566
18,0.5701
19,0.5751
20,0.5669
21,0.5723
22,0.5791
23,0.5677
24,0.5733
25,0.5725
26,0.5731
27,0.5761
28,0.5348
29,0.5776
30,0.5735
31,0.5843
32,0.5643
33,0.5716
34,0.5688
35,0.5748
36,0.5735
37,0.5744
38,0.5755
39,0.5574
40,0.5787
41,0.5824
42,0.5798
43,0.5815
44,0.5796
45,0.5751
46,0.5789
47,0.58
48,0.5751
49,0.5725
50,0.5806
