Round,Accuracy
0,0.1004
1,0.8423
2,0.876
3,0.8782
4,0.8846
5,0.885
6,0.8858
7,0.8869
8,0.8881
9,0.8891
10,0.8895
11,0.8917
12,0.8901
13,0.8906
14,0.8925
15,0.8922
16,0.8931
17,0.8935
18,0.8924
19,0.8944
20,0.8935
21,0.894
22,0.8936
23,0.8928
24,0.894
25,0.8939
26,0.8945
27,0.8934
28,0.893
29,0.8937
30,0.8927
31,0.8925
32,0.8923
33,0.8935
34,0.8934
35,0.8933
36,0.8926
37,0.8919
38,0.8919
39,0.8914
40,0.8915
41,0.8924
42,0.8906
43,0.8909
44,0.8906
45,0.8913
46,0.8917
47,0.8922
48,0.8915
49,0.891
50,0.8896
