Round,Accuracy
0,0.1
1,0.4848
2,0.6305
3,0.715
4,0.7791
5,0.8081
6,0.8204
7,0.8308
8,0.8338
9,0.8409
10,0.8452
11,0.8495
12,0.8562
13,0.8552
14,0.8583
15,0.8595
16,0.8586
17,0.8621
18,0.8612
19,0.8622
20,0.8632
21,0.8634
22,0.8655
23,0.8614
24,0.8623
25,0.8649
26,0.8648
27,0.8646
28,0.8655
29,0.8626
30,0.8664
31,0.8632
32,0.862
33,0.8649
34,0.8655
35,0.8682
36,0.8676
37,0.8656
38,0.8668
39,0.8683
40,0.8643
41,0.868
42,0.868
43,0.8674
44,0.8683
45,0.8679
46,0.8694
47,0.868
48,0.8688
49,0.8695
50,0.8641
