Round,Accuracy
0,0.1
1,0.3065
2,0.4348
3,0.6299
4,0.7151
5,0.736
6,0.785
7,0.7712
8,0.8049
9,0.7866
10,0.8167
11,0.7952
12,0.8234
13,0.7982
14,0.8133
15,0.7849
16,0.8166
17,0.7909
18,0.8093
19,0.7881
20,0.8075
21,0.803
22,0.8227
23,0.8068
24,0.8318
25,0.8228
26,0.8403
27,0.8229
28,0.8381
29,0.8265
30,0.8405
31,0.833
32,0.8396
33,0.8273
34,0.8388
35,0.826
36,0.8379
37,0.8233
38,0.8314
39,0.822
40,0.8264
41,0.8234
42,0.8282
43,0.8268
44,0.8333
45,0.8293
46,0.8374
47,0.8246
48,0.8398
49,0.8245
50,0.839
