Round,Accuracy
0,0.1009
1,0.9781
2,0.9863
3,0.9883
4,0.9901
5,0.9907
6,0.9901
7,0.9905
8,0.9911
9,0.9911
10,0.991
11,0.9918
12,0.9915
13,0.9912
14,0.992
15,0.9915
16,0.9914
17,0.9912
18,0.9911
19,0.9916
20,0.9908
21,0.9912
22,0.9918
23,0.9913
24,0.9919
25,0.9916
26,0.9921
27,0.9916
28,0.991
29,0.9921
30,0.9917
31,0.9921
32,0.9919
33,0.9914
34,0.9924
35,0.9915
36,0.9915
37,0.9912
38,0.9914
39,0.9919
40,0.9917
41,0.9918
42,0.9921
43,0.9918
44,0.9918
45,0.9914
46,0.9921
47,0.9918
48,0.9923
49,0.9918
50,0.9924
