Round,Accuracy
0,0.1029
1,0.773
2,0.9332
3,0.9702
4,0.9763
5,0.9819
6,0.9839
7,0.985
8,0.986
9,0.9866
10,0.9866
11,0.9872
12,0.9888
13,0.988
14,0.9884
15,0.989
16,0.9888
17,0.9886
18,0.989
19,0.9895
20,0.9893
21,0.9894
22,0.989
23,0.9892
24,0.9893
25,0.9891
26,0.989
27,0.9894
28,0.989
29,0.9895
30,0.9895
31,0.9894
32,0.9891
33,0.9896
34,0.9893
35,0.989
36,0.9895
37,0.9894
38,0.9885
39,0.9892
40,0.989
41,0.9897
42,0.9892
43,0.9889
44,0.9895
45,0.989
46,0.9897
47,0.9898
48,0.9897
49,0.9895
50,0.9893
