Round,Accuracy
0,0.0578
1,0.3241
2,0.5249
3,0.7157
4,0.7582
5,0.8387
6,0.6853
7,0.7773
8,0.6915
9,0.7982
10,0.7887
11,0.8543
12,0.8244
13,0.8848
14,0.8737
15,0.9322
16,0.9333
17,0.9487
18,0.9535
19,0.9573
20,0.9558
21,0.9611
22,0.9617
23,0.9652
24,0.9658
25,0.9655
26,0.9692
27,0.9686
28,0.9702
29,0.9686
30,0.9676
31,0.9692
32,0.9706
33,0.9713
34,0.9739
35,0.9725
36,0.97
37,0.9716
38,0.9742
39,0.9727
40,0.9716
41,0.9688
42,0.9725
43,0.9724
44,0.9734
45,0.974
46,0.9761
47,0.9757
48,0.9773
49,0.9735
50,0.9761
