Round,Accuracy
0,0.1032
1,0.9381
2,0.9816
3,0.9849
4,0.9866
5,0.9869
6,0.9886
7,0.9889
8,0.9885
9,0.9888
10,0.9894
11,0.9898
12,0.9893
13,0.9891
14,0.9894
15,0.9893
16,0.9895
17,0.9897
18,0.9901
19,0.9897
20,0.9901
21,0.9899
22,0.9901
23,0.9901
24,0.9906
25,0.9905
26,0.9906
27,0.9907
28,0.9906
29,0.9908
30,0.9913
31,0.9916
32,0.9911
33,0.9912
34,0.991
35,0.9907
36,0.9908
37,0.9914
38,0.9908
39,0.9905
40,0.9904
41,0.9907
42,0.9904
43,0.9904
44,0.9907
45,0.9909
46,0.9908
47,0.9913
48,0.9907
49,0.9908
50,0.9904
