Round,Accuracy
0,0.0916
1,0.6194
2,0.7333
3,0.8567
4,0.8347
5,0.7531
6,0.8724
7,0.8809
8,0.878
9,0.8791
10,0.8793
11,0.8778
12,0.8873
13,0.854
14,0.8604
15,0.8844
16,0.8898
17,0.8833
18,0.8878
19,0.8886
20,0.8833
21,0.8888
22,0.8884
23,0.8838
24,0.8904
25,0.8902
26,0.8904
27,0.8876
28,0.8889
29,0.8874
30,0.8849
31,0.8694
32,0.8883
33,0.8892
34,0.8903
35,0.8901
36,0.6897
37,0.8819
38,0.8205
39,0.887
40,0.8888
41,0.888
42,0.8852
43,0.8885
44,0.8886
45,0.8892
46,0.8905
47,0.8813
48,0.8879
49,0.8848
50,0.8782
