Round,Accuracy
0,0.0775
1,0.097
2,0.1594
3,0.1959
4,0.1959
5,0.1594
6,0.1107
7,0.1598
8,0.1107
9,0.1959
10,0.1107
11,0.1959
12,0.1594
13,0.0969
14,0.1959
15,0.1594
16,0.1959
17,0.1594
18,0.1594
19,0.1959
20,0.1594
21,0.1959
22,0.0776
23,0.1594
24,0.1107
25,0.1594
26,0.1107
27,0.1959
28,0.0776
29,0.1594
30,0.0969
31,0.1594
32,0.1959
33,0.1594
34,0.1959
35,0.1594
36,0.1959
37,0.1594
38,0.1959
39,0.1594
40,0.1959
41,0.1594
42,0.1959
43,0.1594
44,0.1959
45,0.0969
46,0.1594
47,0.1959
48,0.1594
49,0.1959
50,0.0969
