Round,Accuracy
0,0.7649
1,0.8544
2,0.8581
3,0.858
4,0.8564
5,0.8557
6,0.8557
7,0.8531
8,0.8535
9,0.8552
10,0.8549
11,0.8477
12,0.8492
13,0.8515
14,0.8483
15,0.8515
16,0.8518
17,0.8457
18,0.8514
19,0.85
20,0.8465
21,0.8478
22,0.8432
23,0.8481
24,0.8414
25,0.8419
26,0.8432
27,0.8371
28,0.8405
29,0.8386
30,0.8389
31,0.8371
32,0.8411
33,0.8392
34,0.8399
35,0.8328
36,0.8392
37,0.8385
38,0.8411
39,0.838
40,0.8353
41,0.8409
42,0.8337
43,0.8397
44,0.8386
45,0.8396
46,0.8406
47,0.8369
48,0.8371
49,0.8363
50,0.8354
