Round,Accuracy
0,0.1001
1,0.087
2,0.1
3,0.1001
4,0.1297
5,0.1
6,0.102
7,0.1026
8,0.1383
9,0.1198
10,0.1173
11,0.0843
12,0.1164
13,0.101
14,0.1034
15,0.1001
16,0.1067
17,0.1332
18,0.0993
19,0.1199
20,0.1207
21,0.1234
22,0.1
23,0.0986
24,0.1
25,0.1124
26,0.145
27,0.1203
28,0.1002
29,0.0873
30,0.1
31,0.0922
32,0.0985
33,0.1391
34,0.1429
35,0.1031
36,0.1275
37,0.1
38,0.1
39,0.1
40,0.1
41,0.1001
42,0.1001
43,0.1052
44,0.1073
45,0.1113
46,0.1113
47,0.1261
48,0.1
49,0.0774
50,0.1
