Round,Accuracy
0,0.1
1,0.2937
2,0.3339
3,0.3438
4,0.3444
5,0.3422
6,0.3385
7,0.3407
8,0.3375
9,0.3349
10,0.3313
11,0.3278
12,0.3211
13,0.3095
14,0.3089
15,0.2992
16,0.2869
17,0.2825
18,0.2844
19,0.2861
20,0.2757
21,0.2764
22,0.2862
23,0.2815
24,0.2777
25,0.2843
26,0.2824
27,0.2754
28,0.2768
29,0.2829
30,0.2751
31,0.2836
32,0.2776
33,0.2793
34,0.2768
35,0.2676
36,0.2778
37,0.2795
38,0.2763
39,0.2725
40,0.2804
41,0.2796
42,0.2719
43,0.2754
44,0.2749
45,0.2732
46,0.2789
47,0.2678
48,0.2887
49,0.2717
50,0.2724
