Round,Accuracy
0,0.1
1,0.1072
2,0.1524
3,0.1989
4,0.2165
5,0.2214
6,0.2243
7,0.2281
8,0.2343
9,0.2286
10,0.2382
11,0.231
12,0.2382
13,0.2422
14,0.2423
15,0.2481
16,0.2434
17,0.2537
18,0.251
19,0.2609
20,0.2555
21,0.259
22,0.2508
23,0.2615
24,0.2512
25,0.2588
26,0.2543
27,0.2579
28,0.2508
29,0.2597
30,0.2587
31,0.2584
32,0.2532
33,0.26
34,0.2572
35,0.2632
36,0.2528
37,0.2618
38,0.2558
39,0.2666
40,0.2578
41,0.2666
42,0.2578
43,0.2664
44,0.2561
45,0.2647
46,0.258
47,0.2634
48,0.2596
49,0.2686
50,0.2641
