Round,Accuracy
0,0.0941
1,0.2101
2,0.4112
3,0.4481
4,0.4496
5,0.4382
6,0.4355
7,0.4285
8,0.4264
9,0.4217
10,0.4191
11,0.419
12,0.4203
13,0.4166
14,0.4158
15,0.4125
16,0.4131
17,0.4106
18,0.4113
19,0.4102
20,0.4123
21,0.408
22,0.4114
23,0.4099
24,0.4085
25,0.4075
26,0.4078
27,0.4076
28,0.4068
29,0.4067
30,0.4059
31,0.4039
32,0.4047
33,0.405
34,0.4033
35,0.4033
36,0.4022
37,0.4022
38,0.4033
39,0.4013
40,0.4019
41,0.4008
42,0.4014
43,0.4022
44,0.4023
45,0.4022
46,0.4007
47,0.399
48,0.3996
49,0.4013
50,0.4005
