Round,Accuracy
0,0.0
1,0.4822
2,0.4916
3,0.4955
4,0.5069
5,0.5135
6,0.5196
7,0.5226
8,0.5234
9,0.5303
10,0.5314
11,0.5342
12,0.5376
13,0.5368
14,0.5378
15,0.54
16,0.5422
17,0.5456
18,0.5437
19,0.5503
20,0.54
21,0.5447
22,0.5512
23,0.5503
24,0.5488
25,0.5495
26,0.5531
27,0.5518
28,0.5538
29,0.5531
30,0.5523
31,0.5533
32,0.5514
33,0.5574
34,0.5598
35,0.5546
36,0.5591
37,0.5546
38,0.563
39,0.5561
40,0.5557
41,0.5566
42,0.5591
43,0.5578
44,0.5477
45,0.5553
46,0.5523
47,0.5596
48,0.5568
49,0.5574
50,0.5591
