Round,Accuracy
0,0.0002
1,0.4822
2,0.3789
3,0.4822
4,0.4976
5,0.4974
6,0.526
7,0.4938
8,0.4923
9,0.5043
10,0.5196
11,0.5065
12,0.5314
13,0.5348
14,0.5484
15,0.5355
16,0.5454
17,0.5492
18,0.5065
19,0.529
20,0.3615
21,0.5105
22,0.4135
23,0.5129
24,0.4596
25,0.5155
26,0.4525
27,0.5161
28,0.4654
29,0.517
30,0.4531
31,0.5153
32,0.4486
33,0.514
34,0.4316
35,0.5148
36,0.4477
37,0.5222
38,0.5026
39,0.5252
40,0.4886
41,0.5314
42,0.4914
43,0.5359
44,0.4905
45,0.5314
46,0.4953
47,0.5273
48,0.4994
49,0.5353
50,0.4955
