Round,Accuracy
0,0.1083
1,0.7792
2,0.8203
3,0.8317
4,0.8348
5,0.8369
6,0.8383
7,0.8367
8,0.835
9,0.8371
10,0.8375
11,0.8344
12,0.8361
13,0.8328
14,0.8385
15,0.8351
16,0.8386
17,0.8366
18,0.8389
19,0.8383
20,0.8373
21,0.834
22,0.8352
23,0.8379
24,0.8364
25,0.8369
26,0.8375
27,0.8352
28,0.836
29,0.8323
30,0.8351
31,0.8346
32,0.8376
33,0.8357
34,0.835
35,0.8375
36,0.8375
37,0.8355
38,0.835
39,0.8367
40,0.8354
41,0.8323
42,0.8353
43,0.8343
44,0.8336
45,0.8371
46,0.8335
47,0.836
48,0.8312
49,0.8323
50,0.8346
