Round,Accuracy
0,0.1
1,0.7741
2,0.8358
3,0.8545
4,0.8677
5,0.8735
6,0.8793
7,0.882
8,0.8856
9,0.8868
10,0.888
11,0.8865
12,0.8866
13,0.8883
14,0.8877
15,0.8902
16,0.8903
17,0.8907
18,0.8879
19,0.8887
20,0.8908
21,0.89
22,0.8918
23,0.8902
24,0.8923
25,0.8915
26,0.8909
27,0.8917
28,0.8919
29,0.8907
30,0.8914
31,0.89
32,0.8921
33,0.8917
34,0.8891
35,0.8909
36,0.8905
37,0.8901
38,0.8918
39,0.8906
40,0.8903
41,0.892
42,0.8921
43,0.8926
44,0.8911
45,0.8914
46,0.8921
47,0.8915
48,0.8915
49,0.8903
50,0.8907
