Round,Accuracy
0,0.1004
1,0.5001
2,0.6563
3,0.7633
4,0.798
5,0.8346
6,0.8378
7,0.8525
8,0.8565
9,0.8535
10,0.8598
11,0.8624
12,0.862
13,0.8642
14,0.8638
15,0.8694
16,0.8687
17,0.8684
18,0.8686
19,0.8682
20,0.8696
21,0.8648
22,0.8691
23,0.8688
24,0.8704
25,0.8685
26,0.8707
27,0.8683
28,0.8682
29,0.8721
30,0.8702
31,0.8703
32,0.8716
33,0.8715
34,0.8694
35,0.8717
36,0.8727
37,0.8714
38,0.8733
39,0.8737
40,0.8722
41,0.8712
42,0.8733
43,0.8724
44,0.8713
45,0.8742
46,0.8727
47,0.8719
48,0.8739
49,0.875
50,0.8725
