Round,Accuracy
0,0.0653
1,0.7643
2,0.9587
3,0.9721
4,0.9788
5,0.9812
6,0.9825
7,0.984
8,0.9847
9,0.9848
10,0.9854
11,0.9859
12,0.9865
13,0.9862
14,0.9873
15,0.9861
16,0.9874
17,0.987
18,0.9876
19,0.9876
20,0.9874
21,0.9877
22,0.9879
23,0.9877
24,0.9871
25,0.9872
26,0.9876
27,0.9878
28,0.9873
29,0.9873
30,0.9875
31,0.988
32,0.9884
33,0.9879
34,0.9875
35,0.9881
36,0.988
37,0.9885
38,0.988
39,0.9886
40,0.9883
41,0.9812
42,0.988
43,0.9881
44,0.9877
45,0.9881
46,0.9889
47,0.9886
48,0.9886
49,0.9886
50,0.9884
