Round,Accuracy
0,0.149
1,0.1032
2,0.098
3,0.1268
4,0.0974
5,0.1047
6,0.1034
7,0.0983
8,0.1008
9,0.1776
10,0.0979
11,0.1623
12,0.1908
13,0.1554
14,0.1423
15,0.1032
16,0.1668
17,0.1392
18,0.2451
19,0.2158
20,0.1975
21,0.144
22,0.2072
23,0.1709
24,0.2396
25,0.3214
26,0.2608
27,0.238
28,0.2137
29,0.5243
30,0.5103
31,0.3099
32,0.2369
33,0.4751
34,0.4512
35,0.5247
36,0.4563
37,0.3862
38,0.4563
39,0.5346
40,0.518
41,0.617
42,0.594
43,0.5761
44,0.5711
45,0.5966
46,0.6017
47,0.5603
48,0.542
49,0.4428
50,0.605
