Round,Accuracy
0,0.0743
1,0.9344
2,0.9824
3,0.9858
4,0.987
5,0.9869
6,0.9875
7,0.9878
8,0.9884
9,0.9891
10,0.9892
11,0.9894
12,0.9897
13,0.9901
14,0.9904
15,0.9899
16,0.9903
17,0.9906
18,0.9908
19,0.9911
20,0.9906
21,0.9911
22,0.9902
23,0.9909
24,0.9906
25,0.9907
26,0.991
27,0.9909
28,0.9908
29,0.9906
30,0.9909
31,0.9906
32,0.9913
33,0.9912
34,0.991
35,0.9907
36,0.9907
37,0.9909
38,0.991
39,0.99
40,0.9905
41,0.9905
42,0.9908
43,0.9914
44,0.9912
45,0.9909
46,0.9906
47,0.9907
48,0.991
49,0.9914
50,0.9909
