Round,Accuracy
0,0.1
1,0.1959
2,0.3854
3,0.6653
4,0.6887
5,0.6659
6,0.6881
7,0.7073
8,0.7118
9,0.6774
10,0.7119
11,0.7025
12,0.708
13,0.7134
14,0.691
15,0.7061
16,0.7127
17,0.69
18,0.7008
19,0.6933
20,0.6999
21,0.7005
22,0.7094
23,0.6963
24,0.6961
25,0.6819
26,0.7031
27,0.7065
28,0.6918
29,0.7001
30,0.6966
31,0.6943
32,0.6792
33,0.6778
34,0.6752
35,0.665
36,0.688
37,0.6872
38,0.6772
39,0.6846
40,0.6817
41,0.6842
42,0.6704
43,0.6809
44,0.6946
45,0.6412
46,0.6878
47,0.6877
48,0.6862
49,0.6826
50,0.6681
