Round,Accuracy
0,0.1594
1,0.4172
2,0.7116
3,0.7869
4,0.8152
5,0.8339
6,0.8389
7,0.844
8,0.8474
9,0.8526
10,0.8518
11,0.8538
12,0.8552
13,0.8571
14,0.8564
15,0.8569
16,0.8583
17,0.859
18,0.8581
19,0.8606
20,0.861
21,0.8594
22,0.8584
23,0.8596
24,0.8603
25,0.8607
26,0.8612
27,0.8598
28,0.8602
29,0.8605
30,0.8621
31,0.8592
32,0.8607
33,0.8608
34,0.8608
35,0.8621
36,0.8614
37,0.8584
38,0.8615
39,0.8602
40,0.8588
41,0.8592
42,0.8609
43,0.8598
44,0.8594
45,0.86
46,0.8601
47,0.8607
48,0.8589
49,0.8608
50,0.8599
