Round,Accuracy
0,0.0617
1,0.1594
2,0.1959
3,0.1107
4,0.1959
5,0.1594
6,0.1959
7,0.1107
8,0.1594
9,0.1107
10,0.1959
11,0.1594
12,0.1959
13,0.0759
14,0.1107
15,0.1107
16,0.1959
17,0.1594
18,0.1959
19,0.1107
20,0.1107
21,0.1107
22,0.1959
23,0.1107
24,0.1959
25,0.1107
26,0.1959
27,0.0759
28,0.1959
29,0.1594
30,0.1959
31,0.1594
32,0.1107
33,0.1959
34,0.1107
35,0.1959
36,0.1594
37,0.1959
38,0.1594
39,0.1959
40,0.1594
41,0.1959
42,0.1594
43,0.1959
44,0.0759
45,0.1959
46,0.0969
47,0.1959
48,0.1107
49,0.1959
50,0.1107
