Round,Accuracy
0,0.1107
1,0.1961
2,0.8197
3,0.8526
4,0.8619
5,0.8688
6,0.8715
7,0.8725
8,0.8754
9,0.8764
10,0.878
11,0.8789
12,0.8771
13,0.8796
14,0.8806
15,0.8806
16,0.881
17,0.8808
18,0.8796
19,0.8812
20,0.8814
21,0.8818
22,0.8827
23,0.8826
24,0.8807
25,0.8822
26,0.8819
27,0.8813
28,0.8815
29,0.8796
30,0.8823
31,0.882
32,0.8821
33,0.8815
34,0.882
35,0.8814
36,0.8808
37,0.8801
38,0.8818
39,0.8797
40,0.8796
41,0.8803
42,0.8788
43,0.8802
44,0.8795
45,0.8792
46,0.8803
47,0.8796
48,0.8781
49,0.8791
50,0.8793
