Round,Accuracy
0,0.2351
1,0.8409
2,0.8572
3,0.86
4,0.8589
5,0.8587
6,0.8529
7,0.8544
8,0.8515
9,0.8478
10,0.8485
11,0.8523
12,0.8457
13,0.8435
14,0.8434
15,0.8354
16,0.8455
17,0.8388
18,0.8412
19,0.8357
20,0.8431
21,0.838
22,0.8451
23,0.8374
24,0.8385
25,0.8354
26,0.8434
27,0.8403
28,0.8351
29,0.8311
30,0.8415
31,0.8386
32,0.8353
33,0.8365
34,0.8403
35,0.8357
36,0.8365
37,0.8372
38,0.8394
39,0.8374
40,0.8369
41,0.8329
42,0.8313
43,0.8376
44,0.8386
45,0.8306
46,0.8345
47,0.8349
48,0.8351
49,0.8313
50,0.8403
