Round,Accuracy
0,0.2351
1,0.7649
2,0.2351
3,0.7649
4,0.2351
5,0.7649
6,0.2397
7,0.8099
8,0.4454
9,0.7947
10,0.4242
11,0.795
12,0.5285
13,0.8174
14,0.5673
15,0.8084
16,0.5452
17,0.8138
18,0.5448
19,0.8231
20,0.5635
21,0.8268
22,0.5649
23,0.8199
24,0.5365
25,0.8297
26,0.5659
27,0.8349
28,0.557
29,0.8331
30,0.5403
31,0.8326
32,0.5653
33,0.8339
34,0.5337
35,0.8322
36,0.5534
37,0.8411
38,0.5449
39,0.8394
40,0.5535
41,0.8353
42,0.5425
43,0.8426
44,0.5511
45,0.8362
46,0.5486
47,0.8409
48,0.5558
49,0.8379
50,0.5418
