Round,Accuracy
0,0.7649
1,0.8578
2,0.8563
3,0.8517
4,0.8521
5,0.8508
6,0.8402
7,0.8377
8,0.8425
9,0.844
10,0.8365
11,0.8363
12,0.8383
13,0.8371
14,0.8409
15,0.8345
16,0.8406
17,0.8389
18,0.8399
19,0.8389
20,0.8409
21,0.8371
22,0.8383
23,0.8353
24,0.8345
25,0.8399
26,0.8323
27,0.8382
28,0.8379
29,0.8379
30,0.836
31,0.8434
32,0.84
33,0.8399
34,0.8385
35,0.8369
36,0.8409
37,0.8406
38,0.8397
39,0.8388
40,0.8366
41,0.8369
42,0.8359
43,0.8349
44,0.8376
45,0.8362
46,0.8356
47,0.8345
48,0.8351
49,0.8328
50,0.8328
