Round,Accuracy
0,0.1073
1,0.4338
2,0.5065
3,0.532
4,0.5547
5,0.5658
6,0.5681
7,0.5805
8,0.589
9,0.5942
10,0.6021
11,0.6021
12,0.6036
13,0.6075
14,0.6094
15,0.6144
16,0.6188
17,0.6151
18,0.623
19,0.6238
20,0.6241
21,0.6248
22,0.628
23,0.6291
24,0.6303
25,0.6302
26,0.64
27,0.6388
28,0.6351
29,0.6365
30,0.6357
31,0.6346
32,0.6389
33,0.6385
34,0.6403
35,0.642
36,0.6402
37,0.64
38,0.6457
39,0.6425
40,0.6412
41,0.6477
42,0.647
43,0.6417
44,0.6422
45,0.6384
46,0.646
47,0.6429
48,0.6429
49,0.6495
50,0.6441
